,cow_name,side_length_shoulderbone,side_f_girth,side_r_girth,rear_width,cow_pixels,sticker_pixels,weight
210,34_b4-1_101_M,829.2466460589394,385.7473266271589,847.2856661126754,288.00694436072195,509370,7729,101
211,427_b4-1_207_F,1061.859218540763,488.0040983434463,978.1477393522923,380.2959373961284,799869,9370,207
212,427_b4-1_207_F,1061.859218540763,488.0040983434463,978.1477393522923,380.2959373961284,799869,9370,207
213,287_b4-1_172_M,939.8260477343666,450.03999822238023,972.0,342.03654775476843,749720,9462,172
214,101_b4-2_149_F,1008.7715301295929,452.0011061933367,935.3079706706236,346.07080200444534,692249,10475,149
215,101_b4-2_149_F,1008.7715301295929,452.0011061933367,935.3079706706236,346.07080200444534,692249,10475,149
216,30_b4-4_110_F,866.363664981398,408.2070553040454,858.0472014988453,276.0163038662753,536877,7202,110
217,73_b4-2_204_F,1036.2779549908412,465.2418725781247,1032.0,381.47345910298924,770367,9689,204
218,110_b4-1_126_F,990.830459765948,460.5702986515739,874.2522519273256,306.13232433050905,730563,10355,126
219,341_b4-2_183_F,1167.4973233374028,554.0009025263406,1152.0976521111395,306.0016339825655,957185,12636,183
220,457_b4-2_246_F,772.6040383016388,370.0,785.0006369424168,264.030301291348,429165,4051,246
221,441_b4-2_81_M,858.408410955997,427.0105385116391,906.3448571046233,309.01456276363416,613672,9937,81
222,370_b4-1_192_M,1065.0544587015258,541.074856189049,1156.292350575753,327.0749149659753,953221,14382,192
223,234_b4-2_155_F,907.8265252789213,435.50660155731276,886.0953673279191,306.32009401931174,590175,8408,155
224,273_b4-2_133_F,1105.967901885041,501.08083180261445,1129.011071690619,292.04280508172087,831059,15141,133
225,498_b4-2_188_F,1014.1917964566662,509.03536222938385,993.5819040220086,375.02133272655306,785447,8058,188
226,291_b4-4_172_F,863.1344043658554,428.72951846123215,800.1406126425529,415.07710127155894,551039,6520,172
227,15_b4-3_109_F,935.9813032320677,463.99676723011765,911.5974988995965,345.3259329966401,659384,7893,109
228,316_b4-3_181_F,1119.550356169833,534.083326832059,1005.0716392377212,369.1639202305664,846270,10266,181
229,238_b4-3_164_F,1089.3713783646053,529.0302448820861,945.0259255702988,369.04877726392755,801737,9767,164
230,393_b4-3_195_F,1167.995291086398,495.25851835177957,1065.1056285646039,415.0012048175282,894740,12139,195
231,70_b4-4_129_F,1124.0435934606808,517.0967027549102,1069.7859599003905,348.1436485130815,882798,14118,129
232,92_b4-2_168_F,1204.3869809990474,562.0320275571491,1150.0626069914629,361.1121709386157,969292,13521,168
233,84_b4-2_114_F,895.5947744376359,428.02920461108727,863.1674229255875,304.00164473239283,585043,11089,114
234,84_b4-2_114_F,895.5947744376359,428.02920461108727,863.1674229255875,304.00164473239283,585043,11089,114
235,347_b4-4_185_F,999.8324859695248,471.128432595614,965.2983994599805,289.0432493589843,723541,8473,185
236,45_b4-1_106_F,1028.630643136787,520.2460956124514,1089.117532684145,341.09382873338535,770544,15699,106
237,485_b4-3_233_F,1048.0443692897738,504.47993022517755,893.2961435044931,335.0373113550191,782590,9273,233
238,62_b4-4_126_F,1057.9413972427774,526.2138348618364,1092.3094799552002,322.0062111202205,868217,11154,126
239,115_b4-4_140_F,897.1426865331958,428.02920461108727,900.0199997777827,253.00790501484337,619192,8230,140
240,186_b4-4_155_F,1018.0397831126247,485.1030818290067,908.000550660626,329.09725006447565,702889,9546,155
241,83_b4-1_119_F,899.262475587634,437.0286031829038,855.0093566739489,302.0595967685847,586202,8317,119
242,208_b4-2_160_M,1020.9897159129468,467.2740095490011,1042.0,345.09274115808347,746118,10439,160
243,95_b4-2_154_F,1031.6748518792149,486.8644575238575,977.663029882996,232.03448019637082,734613,9375,154
244,95_b4-2_154_F,1031.6748518792149,486.8644575238575,977.663029882996,232.03448019637082,734613,9375,154
245,474_b4-4_224_F,1040.7309931005225,473.240953426476,977.5914279493248,356.00140449161154,767660,5663,224
246,140_b4-1_136_M,983.6879586535559,513.7100349418921,941.1721415341616,380.8214804865923,794607,13591,136
247,238_b4-4_164_F,1057.5372333870803,496.5329797707298,1005.9194798789812,291.06184909740404,785156,11743,164
248,238_b4-4_164_F,1057.5372333870803,496.5329797707298,1005.9194798789812,291.06184909740404,785156,11743,164
249,393_b4-4_195_F,1033.5110062307028,467.10705411072524,960.4634298087565,379.1068450977903,739628,8922,195
250,336_b4-1_183_F,1143.8391495310868,469.03837796069524,1031.7000533100693,377.3393697985939,835051,9280,183
251,256_b4-1_166_F,1038.3188334996144,489.40882705566315,919.2877677854742,347.00576364089403,759952,9983,166
252,422_b4-3_202_F,1190.6489826980915,543.0589286624427,1160.0211204973814,465.0043010553773,995078,11743,202
253,447_b4-2_140_F,1013.6715444363623,486.33321909982664,1018.4129810641654,313.05750270517393,731371,12562,140
254,351_b4-3_188_F,1000.8096722154518,501.36014999199926,941.1360156746739,399.0112780360976,850462,9393,188
255,93_b4-3_140_F,860.0860422074061,470.1063709417263,871.35870914337,451.00443456799843,682892,6203,140
256,168_b4-3_154_F,892.7804881380417,396.1262425035736,887.5071830695231,292.3850201361212,563412,9394,154
